domain,spf_record,reasons,ip4,ip6,include,a,mx,ptr,exists,redirect
0-esi.incites.thomsonreuters.com.library.org.org.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-esi.incites.thomsonreuters.com.wam.org.nbahoopstroop.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-exportguide.bna.com.topekalibraries.info,v=spf1 a ?all,"suspicious_domain,abused_tld_top",0,0,0,1,0,0,0,0
0-find.galegroup.com.sable.jefferson.lib.co.us,v=spf1 a -all,"suspicious_domain,abused_tld_ga,deep_subdomain",0,0,0,1,0,0,0,0
0-florida.0.0-10.0.0.wamba.com,v=spf1 ip4:195.211.23.0/29 ip4:193.0.170.0/23 include:_spf.google.com -all,"suspicious_domain,deep_subdomain",2,0,1,0,0,0,0,0
0-flr.law.anu.edu.au.pugwash.lib.staging.attconsumer.biz,v=spf1 ip6:fd1b:212c:a5f9::/48 -all,"suspicious_domain,deep_subdomain",0,1,0,0,0,0,0,0
0-foldering.int.next.westlaw.com.skyline.ucdenver.edu,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-full-es-dev.on.worldcat.org.catalogue.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-gdc.galegroup.com.libraries.platinet.com,v=spf1 -all,"suspicious_domain,abused_tld_ga",0,0,0,0,0,0,0,0
0-go.galegroup.com.library.giotto.pl,v=spf1 a mx ~all,"suspicious_domain,abused_tld_ga",0,0,0,1,1,0,0,0
0-go.galegroup.com.mcpac.mcpl.lib.ny.us,v=spf1 a -all,"suspicious_domain,abused_tld_ga,deep_subdomain",0,0,0,1,0,0,0,0
0-go.galegroup.com.search.tolibrary.org,v=spf1 a -all,"suspicious_domain,abused_tld_ga",0,0,0,1,0,0,0,0
0-go.galegroup.com.skyline.ucdenver.edu,v=spf1 a -all,"suspicious_domain,abused_tld_ga",0,0,0,1,0,0,0,0
0-go.galegroup.com.topekalibraries.info,v=spf1 a ?all,"suspicious_domain,abused_tld_ga",0,0,0,1,0,0,0,0
0-go.grolier.com.aspen.ald.lib.co.us,v=spf1 a ?all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-healthlaw.bna.com.topekalibraries.info,v=spf1 a ?all,"suspicious_domain,abused_tld_top",0,0,0,1,0,0,0,0
0-ids.webofknowledge.com.dewey2.library.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-infotrac.galegroup.com.sable.jefferson.lib.co.us,v=spf1 a -all,"suspicious_domain,abused_tld_ga,deep_subdomain",0,0,0,1,0,0,0,0
0-infotrac.galegroup.com.topekalibraries.info,v=spf1 a ?all,"suspicious_domain,abused_tld_ga",0,0,0,1,0,0,0,0
0-int.on.worldcat.org.catalogue.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-itesm3.summon.serialssolutions.com.millenium.kinderhappyhippo.com.pl,v=spf1 a mx ~all,"suspicious_domain,deep_subdomain",0,0,0,1,1,0,0,0
0-j1.next.westlaw.com.lib.com.www.starbucksevolutions.com,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journal52chives.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journal97chives.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarcargentinaives.jisc.ac.uk.pugwasargentina.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarcdoives.jisc.ac.uk.pugwasdo.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarch18ves.j18sc.ac.uk.pugwash.l18b.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchagentves.jagentsc.ac.uk.pugwash.lagentb.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchiumaes.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchiv714s.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchivanzeigers.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchiveao.jiaoc.ac.uk.pugwaaoh.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchivebin.jibinc.ac.uk.pugwabinh.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchivek4.jik4c.ac.uk.pugwak4h.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchivelec2.jilec2c.ac.uk.pugwalec2h.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchivepromotion.jipromotionc.ac.uk.pugwapromotionh.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives-cpanel.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives-mascara1865.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives-sultan.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.alice2.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.assets-yammer-docker.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.beijing.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.bioconductor.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.breakpad.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.cd2.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.centerpriseenrollment.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.cpaneljisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-journalarchives.gw.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
